epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0758,1.09242,3.4779,1.39552,0.22069,0.16806,0.09355,0.0641,1.25715,23.1652,1.94421,0.0677297,0.000162162,0.000162162
2,30.1133,1.02604,2.06584,1.30065,0.2839,0.60318,0.41768,0.30067,0.98575,18.2072,1.40342,0.0345624,0.000328178,0.000328178
3,44.5329,1.01507,1.82644,1.29798,0.34847,0.38054,0.29091,0.22306,1.05162,inf,1.54798,0.00139443,0.000493533,0.000493533
4,57.8282,1.02675,1.73128,1.31382,0.28235,0.39489,0.3426,0.24107,1.07511,3.1391,1.52942,0.00049703,0.00049703,0.00049703
5,71.3305,0.98353,1.52633,1.28622,0.4251,0.324,0.32239,0.23757,1.19775,2.84765,1.65345,0.00049604,0.00049604,0.00049604
6,84.6193,0.93016,1.4205,1.25645,0.49297,0.61857,0.61526,0.46663,0.92093,2.07369,1.41725,0.00049505,0.00049505,0.00049505
7,98.4863,0.9193,1.31315,1.26489,0.66624,0.74627,0.76011,0.59053,0.88327,1.78403,1.39091,0.00049406,0.00049406,0.00049406
8,112.482,0.9034,1.268,1.26076,0.77512,0.75798,0.82383,0.65378,0.80829,1.39592,1.2823,0.00049307,0.00049307,0.00049307
9,126.434,0.91998,1.23366,1.2588,0.71259,0.67929,0.75834,0.58368,0.92947,1.40199,1.36601,0.00049208,0.00049208,0.00049208
10,139.736,0.89493,1.14122,1.25934,0.72643,0.73218,0.80926,0.64926,0.81486,1.30515,1.2678,0.00049109,0.00049109,0.00049109
11,153.071,0.89102,1.09994,1.26305,0.79206,0.67063,0.82509,0.65722,0.84926,1.2924,1.32096,0.0004901,0.0004901,0.0004901
12,167.256,0.86732,1.05199,1.23694,0.86511,0.84134,0.92222,0.74168,0.80469,0.87621,1.24714,0.00048911,0.00048911,0.00048911
13,181.326,0.85293,1.01163,1.21495,0.88143,0.83275,0.91183,0.73252,0.81351,0.8192,1.26531,0.00048812,0.00048812,0.00048812
14,194.726,0.86891,0.98664,1.26369,0.84169,0.8632,0.90303,0.73477,0.79351,0.85266,1.22478,0.00048713,0.00048713,0.00048713
15,208.106,0.81588,0.92852,1.21311,0.82546,0.88409,0.90401,0.74092,0.77841,0.80224,1.25803,0.00048614,0.00048614,0.00048614
16,221.527,0.83474,0.93484,1.22938,0.87453,0.92202,0.94924,0.77493,0.75445,0.71436,1.20428,0.00048515,0.00048515,0.00048515
17,235.328,0.83777,0.91704,1.22536,0.84672,0.8759,0.92675,0.7561,0.78315,0.74045,1.23894,0.00048416,0.00048416,0.00048416
18,248.654,0.83164,0.88755,1.22103,0.9265,0.90037,0.95557,0.77215,0.76552,0.66856,1.23317,0.00048317,0.00048317,0.00048317
19,261.983,0.80229,0.90186,1.18392,0.93325,0.89689,0.96019,0.78702,0.73913,0.67252,1.21697,0.00048218,0.00048218,0.00048218
20,275.799,0.79553,0.88645,1.21599,0.88311,0.8929,0.93251,0.76202,0.77359,0.68685,1.22187,0.00048119,0.00048119,0.00048119
21,289.471,0.75823,0.78973,1.17147,0.88873,0.92163,0.95784,0.79572,0.73437,0.59721,1.19482,0.0004802,0.0004802,0.0004802
22,303.216,0.79282,0.83118,1.18533,0.90263,0.916,0.94808,0.78255,0.73283,0.65089,1.21586,0.00047921,0.00047921,0.00047921
23,316.59,0.76737,0.80387,1.1855,0.86443,0.95457,0.95526,0.79051,0.72831,0.57687,1.18727,0.00047822,0.00047822,0.00047822
24,329.924,0.74854,0.79032,1.16454,0.89332,0.93944,0.96887,0.79772,0.73485,0.59348,1.18861,0.00047723,0.00047723,0.00047723
25,343.696,0.75845,0.75623,1.17234,0.93702,0.93269,0.96736,0.79356,0.74556,0.56403,1.19995,0.00047624,0.00047624,0.00047624
26,357.016,0.75567,0.73172,1.17496,0.93724,0.92814,0.96575,0.79704,0.74647,0.57885,1.21826,0.00047525,0.00047525,0.00047525
27,370.337,0.75073,0.73922,1.16306,0.88557,0.9488,0.96792,0.80912,0.72292,0.5664,1.21522,0.00047426,0.00047426,0.00047426
28,384.1,0.73962,0.71029,1.17112,0.88415,0.91538,0.96394,0.79732,0.71338,0.55077,1.17255,0.00047327,0.00047327,0.00047327
