epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9374,1.2282,2.52808,1.35694,0.42977,0.41318,0.37667,0.19028,1.87277,3.50821,2.09924,0.0671348,0.000165152,0.000165152
2,52.3648,1.20058,1.62822,1.34392,0.71438,0.68692,0.79055,0.54257,1.1982,1.25916,1.34275,0.0339677,0.000331349,0.000331349
3,77.5843,1.17943,1.42512,1.33497,0.73654,0.65402,0.75195,0.56122,1.04562,1.74779,1.23406,0.000800105,0.000497075,0.000497075
4,102.631,1.17924,1.37772,1.35361,0.82196,0.78818,0.86869,0.6508,0.97586,0.9939,1.19661,0.000497879,0.000497879,0.000497879
5,127.66,1.14368,1.25367,1.31781,0.88377,0.82917,0.91535,0.68031,0.99214,1.0332,1.18823,0.000497171,0.000497171,0.000497171
6,152.703,1.11729,1.17887,1.29297,0.86976,0.84568,0.9179,0.70318,0.88566,0.77361,1.11625,0.000496464,0.000496464,0.000496464
7,177.867,1.08604,1.07571,1.27809,0.92017,0.90974,0.96276,0.68184,1.08492,0.65607,1.20103,0.000495757,0.000495757,0.000495757
8,202.666,1.05688,1.04132,1.26774,0.86764,0.87534,0.92087,0.70408,0.93983,0.66414,1.14977,0.00049505,0.00049505,0.00049505
9,227.724,1.06858,1.04408,1.26729,0.92478,0.90425,0.97088,0.74464,0.88636,0.59507,1.10971,0.000494343,0.000494343,0.000494343
10,252.938,1.05241,0.99522,1.26778,0.93305,0.92026,0.96068,0.74525,0.90458,0.57984,1.13631,0.000493636,0.000493636,0.000493636
11,278.021,1.03465,0.9481,1.24597,0.91865,0.92261,0.94925,0.7185,0.96052,0.57562,1.14334,0.000492929,0.000492929,0.000492929
12,302.869,1.01631,0.93443,1.24394,0.87925,0.9045,0.94765,0.6963,1.04579,0.65166,1.17119,0.000492221,0.000492221,0.000492221
13,327.697,1.01616,0.92324,1.23615,0.88986,0.94518,0.95237,0.75009,0.86331,0.52791,1.09618,0.000491514,0.000491514,0.000491514
14,352.923,0.99049,0.85698,1.2176,0.93421,0.94126,0.96344,0.74289,0.91863,0.5064,1.11875,0.000490807,0.000490807,0.000490807
15,377.734,0.98471,0.86817,1.21342,0.92515,0.9331,0.96531,0.73633,0.91935,0.52279,1.11353,0.0004901,0.0004901,0.0004901
16,402.571,0.99448,0.86323,1.21914,0.9173,0.93093,0.95243,0.73461,0.91409,0.5226,1.10187,0.000489393,0.000489393,0.000489393
17,427.399,0.97588,0.83126,1.20734,0.95445,0.94266,0.97248,0.78637,0.76535,0.45964,1.02926,0.000488686,0.000488686,0.000488686
18,452.583,0.96538,0.83298,1.20537,0.951,0.93313,0.96813,0.76499,0.86286,0.46498,1.08525,0.000487979,0.000487979,0.000487979
19,477.444,0.95426,0.80747,1.1913,0.913,0.93551,0.97015,0.77904,0.81375,0.5129,1.05528,0.000487271,0.000487271,0.000487271
20,502.311,0.95359,0.79804,1.19826,0.93076,0.95261,0.97328,0.76558,0.87835,0.48684,1.0817,0.000486564,0.000486564,0.000486564
21,527.139,0.9409,0.786,1.1893,0.93678,0.94184,0.96627,0.75282,0.91334,0.49915,1.11063,0.000485857,0.000485857,0.000485857
22,552.073,0.94584,0.78283,1.19662,0.9336,0.95464,0.97777,0.7725,0.86863,0.45439,1.07435,0.00048515,0.00048515,0.00048515
