epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.96988,1.15134,4.06752,1.27834,0.04062,0.14811,0.03792,0.02813,1.83427,4.35601,2.42124,0.0677297,0.000162162,0.000162162
2,11.6581,1.13372,3.01998,1.26881,0.03488,0.90883,0.21415,0.13874,1.16984,3.1329,1.49925,0.0345626,0.000328364,0.000328364
3,16.1397,1.09639,2.56868,1.27022,0.3608,0.47068,0.39323,0.28405,1.10179,2.34192,1.32622,0.00139499,0.000494094,0.000494094
4,20.6578,1.07252,2.202,1.22883,0.57197,0.4898,0.50523,0.35577,1.0827,1.87669,1.31051,0.000497879,0.000497879,0.000497879
5,25.1992,1.06121,2.00458,1.21383,0.37411,0.67153,0.53719,0.36425,1.16805,2.4474,1.36162,0.000497171,0.000497171,0.000497171
6,29.6857,1.03572,1.78854,1.18997,0.50273,0.65874,0.66991,0.4932,1.02463,1.52011,1.26831,0.000496464,0.000496464,0.000496464
7,34.1422,1.02666,1.64093,1.19451,0.59517,0.7575,0.69369,0.50962,1.08896,1.44097,1.26878,0.000495757,0.000495757,0.000495757
8,38.6562,1.00175,1.60563,1.17926,0.5517,0.75961,0.73218,0.51004,1.14081,1.4052,1.37226,0.00049505,0.00049505,0.00049505
9,43.2544,1.02565,1.57199,1.20003,0.61828,0.73394,0.75777,0.54497,1.1118,1.36348,1.29463,0.000494343,0.000494343,0.000494343
10,47.7318,1.00175,1.44182,1.16003,0.69823,0.81343,0.83837,0.61449,1.05119,1.13368,1.2487,0.000493636,0.000493636,0.000493636
11,52.2142,0.99773,1.41772,1.15122,0.77369,0.79689,0.85292,0.64801,0.96381,1.04831,1.19202,0.000492929,0.000492929,0.000492929
12,56.6956,0.97216,1.36066,1.15368,0.68724,0.81876,0.85877,0.63162,1.03499,1.09664,1.23943,0.000492221,0.000492221,0.000492221
13,61.1056,0.97821,1.33301,1.14361,0.75511,0.81868,0.86468,0.63812,1.0024,0.95931,1.19905,0.000491514,0.000491514,0.000491514
14,65.5441,0.95861,1.30077,1.14135,0.76182,0.80144,0.85901,0.63511,0.9984,1.04216,1.19863,0.000490807,0.000490807,0.000490807
15,69.9638,0.96885,1.29645,1.15365,0.80409,0.7878,0.87495,0.6423,1.04252,0.95711,1.22998,0.0004901,0.0004901,0.0004901
16,74.5338,0.97282,1.21185,1.13722,0.8047,0.79891,0.88797,0.65678,1.02507,0.95488,1.21796,0.000489393,0.000489393,0.000489393
17,78.9778,0.95399,1.17926,1.14061,0.87012,0.83524,0.92789,0.71478,0.89679,0.82156,1.14559,0.000488686,0.000488686,0.000488686
