epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3208,1.15426,4.64109,1.35467,0.40734,0.21501,0.15944,0.11006,1.33684,3.46971,1.57498,0.0677297,0.000162162,0.000162162
2,22.2126,0.93099,1.72118,1.14918,0.55714,0.64626,0.68024,0.53189,0.87595,1.65975,1.1175,0.0345624,0.000328178,0.000328178
3,28.2529,0.89277,1.40104,1.11287,0.73445,0.75223,0.78889,0.6073,0.88525,1.0943,1.12586,0.00139443,0.000493533,0.000493533
4,35.2771,0.89622,1.22154,1.0968,0.77528,0.79259,0.85631,0.66493,0.86117,1.0595,1.1231,0.00049703,0.00049703,0.00049703
5,41.4043,0.88319,1.12458,1.08925,0.7632,0.74107,0.82468,0.63888,0.87784,1.09156,1.1456,0.00049604,0.00049604,0.00049604
6,47.6404,0.83695,0.98494,1.05461,0.76302,0.85657,0.86685,0.68488,0.79616,0.88238,1.05239,0.00049505,0.00049505,0.00049505
7,54.0788,0.81988,0.95846,1.05834,0.8741,0.88347,0.92349,0.76355,0.76383,0.65773,1.03608,0.00049406,0.00049406,0.00049406
8,60.6972,0.82531,0.93968,1.05946,0.8298,0.82461,0.87453,0.70675,0.83729,0.82189,1.0821,0.00049307,0.00049307,0.00049307
9,66.8453,0.83981,0.89781,1.06376,0.89575,0.89585,0.94978,0.76873,0.77107,0.61341,1.02431,0.00049208,0.00049208,0.00049208
10,72.8797,0.83486,0.87487,1.07508,0.81178,0.86289,0.89463,0.72826,0.75003,0.73237,1.02371,0.00049109,0.00049109,0.00049109
11,78.8508,0.817,0.86477,1.05697,0.85277,0.90096,0.92694,0.75159,0.76253,0.65108,1.02456,0.0004901,0.0004901,0.0004901
12,84.8704,0.80894,0.85555,1.05652,0.889,0.93634,0.95718,0.77746,0.76223,0.60131,1.03452,0.00048911,0.00048911,0.00048911
13,90.9918,0.79606,0.81169,1.0484,0.92824,0.90827,0.95919,0.78136,0.77959,0.56457,1.03319,0.00048812,0.00048812,0.00048812
14,96.9741,0.78047,0.75975,1.05421,0.86073,0.90115,0.96048,0.7919,0.71437,0.58315,0.99802,0.00048713,0.00048713,0.00048713
15,102.989,0.7566,0.71983,1.03039,0.90624,0.92549,0.95431,0.78806,0.74104,0.53826,1.01582,0.00048614,0.00048614,0.00048614
16,108.879,0.77364,0.73649,1.03767,0.94549,0.91,0.96618,0.80217,0.71366,0.50894,1.00924,0.00048515,0.00048515,0.00048515
17,114.866,0.77204,0.71456,1.03675,0.94079,0.92331,0.96512,0.79693,0.73484,0.52506,1.00851,0.00048416,0.00048416,0.00048416
18,121.246,0.77271,0.68965,1.03439,0.95696,0.95619,0.98101,0.81271,0.70863,0.46153,0.9873,0.00048317,0.00048317,0.00048317
19,127.441,0.74588,0.70787,1.0106,0.93446,0.94077,0.9703,0.81073,0.71335,0.47396,0.99912,0.00048218,0.00048218,0.00048218
20,133.469,0.74321,0.69966,1.02137,0.91271,0.9196,0.96706,0.80341,0.69294,0.48802,0.98503,0.00048119,0.00048119,0.00048119
21,139.445,0.72397,0.64546,1.00978,0.93808,0.92537,0.96978,0.80998,0.69992,0.46219,0.98568,0.0004802,0.0004802,0.0004802
22,145.501,0.73805,0.69729,1.01817,0.93324,0.9401,0.97428,0.81096,0.71267,0.46412,0.99458,0.00047921,0.00047921,0.00047921
23,151.435,0.71353,0.67256,1.00789,0.93025,0.95081,0.97127,0.81257,0.69463,0.44417,0.98302,0.00047822,0.00047822,0.00047822
24,157.815,0.7144,0.63678,1.00699,0.95471,0.94037,0.97614,0.80551,0.71924,0.43561,0.99147,0.00047723,0.00047723,0.00047723
25,164.048,0.71682,0.6263,1.0063,0.95579,0.93936,0.97281,0.81152,0.70816,0.42581,0.98503,0.00047624,0.00047624,0.00047624
26,169.962,0.72294,0.61644,1.00557,0.92457,0.9131,0.9614,0.80477,0.69854,0.47782,0.98836,0.00047525,0.00047525,0.00047525
27,175.945,0.71115,0.63066,0.99652,0.94659,0.94905,0.98017,0.81726,0.68324,0.43021,0.98091,0.00047426,0.00047426,0.00047426
28,181.957,0.69561,0.5915,0.99997,0.89918,0.94442,0.96869,0.79149,0.75348,0.51789,1.00395,0.00047327,0.00047327,0.00047327
29,187.951,0.70464,0.59371,0.99771,0.95426,0.95456,0.97517,0.82199,0.67385,0.43182,0.96523,0.00047228,0.00047228,0.00047228
30,193.979,0.70189,0.60681,0.99826,0.92011,0.9436,0.95751,0.80848,0.68205,0.46424,0.97587,0.00047129,0.00047129,0.00047129
31,199.948,0.69332,0.61953,0.99503,0.95231,0.95841,0.96894,0.8137,0.68101,0.44592,0.97245,0.0004703,0.0004703,0.0004703
32,205.967,0.66844,0.57939,1.00033,0.94587,0.9469,0.97324,0.82553,0.66102,0.44589,0.96956,0.00046931,0.00046931,0.00046931
33,212.055,0.6966,0.59396,0.99626,0.93799,0.93921,0.96874,0.82059,0.68231,0.45942,0.97327,0.00046832,0.00046832,0.00046832
