epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3123,1.29215,3.23136,1.37852,0.46212,0.63356,0.55124,0.39029,1.22346,1.89137,1.32263,0.0671348,0.000165152,0.000165152
2,47.9391,1.18823,1.68786,1.28722,0.73216,0.73349,0.82464,0.55692,1.21348,1.2245,1.3092,0.0339677,0.000331349,0.000331349
3,69.0948,1.16323,1.42144,1.26301,0.77348,0.82637,0.87656,0.62805,1.10576,0.98821,1.24955,0.000800105,0.000497075,0.000497075
4,90.3161,1.17553,1.36688,1.27233,0.8338,0.77098,0.88403,0.63942,1.07801,0.95761,1.21574,0.000497879,0.000497879,0.000497879
5,111.851,1.14095,1.25103,1.25233,0.87469,0.89816,0.92925,0.68167,1.05739,0.79858,1.19261,0.000497171,0.000497171,0.000497171
6,132.905,1.11835,1.19305,1.23604,0.87855,0.89454,0.92039,0.71445,0.92651,0.64615,1.13089,0.000496464,0.000496464,0.000496464
7,154.44,1.09498,1.09398,1.22111,0.87252,0.87258,0.91311,0.67951,0.99314,0.73194,1.15758,0.000495757,0.000495757,0.000495757
8,175.935,1.07259,1.06814,1.22068,0.86335,0.89727,0.93629,0.68994,1.01301,0.70034,1.14594,0.00049505,0.00049505,0.00049505
9,197.259,1.07017,1.05239,1.21091,0.88494,0.938,0.95726,0.74026,0.91173,0.60345,1.10455,0.000494343,0.000494343,0.000494343
10,219.26,1.05416,1.01746,1.2007,0.88986,0.89343,0.93382,0.67537,1.09468,0.64864,1.1976,0.000493636,0.000493636,0.000493636
11,240.61,1.04248,0.97704,1.19223,0.90315,0.93436,0.95599,0.65279,1.1895,0.60486,1.26941,0.000492929,0.000492929,0.000492929
12,261.955,1.02866,0.95655,1.18349,0.91059,0.94895,0.95899,0.69067,1.10587,0.5638,1.19654,0.000492221,0.000492221,0.000492221
13,283.214,1.02724,0.94626,1.18489,0.90823,0.9515,0.96492,0.7301,0.99302,0.56545,1.14145,0.000491514,0.000491514,0.000491514
14,304.479,1.01095,0.90166,1.17153,0.91977,0.94455,0.96803,0.76326,0.84704,0.53358,1.06852,0.000490807,0.000490807,0.000490807
15,325.913,1.00411,0.89264,1.16778,0.93313,0.96224,0.97662,0.72084,1.06537,0.48475,1.17719,0.0004901,0.0004901,0.0004901
