epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.81183,1.18488,4.78193,1.34586,0.07987,0.15832,0.0463,0.02462,1.65241,5.89578,1.97133,0.0677297,0.000162162,0.000162162
2,15.3052,1.07268,2.10602,1.24212,0.36751,0.5888,0.4334,0.29329,1.25871,2.86349,1.48743,0.0345626,0.000328364,0.000328364
3,21.377,1.02871,1.82022,1.22911,0.40979,0.54101,0.52287,0.32103,1.45239,3.25353,1.65832,0.00139499,0.000494094,0.000494094
4,27.766,1.03346,1.63099,1.21229,0.36929,0.56122,0.47378,0.29837,1.40397,2.48584,1.56056,0.000497879,0.000497879,0.000497879
5,33.7486,1.03143,1.54348,1.20673,0.59092,0.69634,0.71014,0.52315,1.03305,1.42511,1.26827,0.000497171,0.000497171,0.000497171
6,39.7728,1.0224,1.41731,1.20241,0.63532,0.75541,0.79706,0.5785,1.04051,1.28578,1.2663,0.000496464,0.000496464,0.000496464
7,45.9006,0.9974,1.35448,1.18292,0.69109,0.78475,0.83873,0.63064,0.96099,1.34864,1.17727,0.000495757,0.000495757,0.000495757
8,51.8951,0.98242,1.29396,1.17601,0.7887,0.83283,0.84878,0.61299,1.0865,1.00075,1.27274,0.00049505,0.00049505,0.00049505
9,57.7002,0.9728,1.25864,1.18717,0.80311,0.85497,0.90115,0.69166,0.93256,0.88004,1.15792,0.000494343,0.000494343,0.000494343
10,63.6448,0.96535,1.18123,1.16886,0.8009,0.88304,0.90917,0.68573,0.95448,0.82651,1.1796,0.000493636,0.000493636,0.000493636
11,69.5235,0.95921,1.16595,1.15779,0.76162,0.83668,0.86604,0.63939,1.00111,1.06463,1.204,0.000492929,0.000492929,0.000492929
12,75.3588,0.94521,1.12421,1.15882,0.85173,0.84783,0.89777,0.67568,1.01822,0.80601,1.19546,0.000492221,0.000492221,0.000492221
13,81.201,0.94665,1.10317,1.15026,0.84154,0.8732,0.92354,0.67853,1.02488,0.74827,1.19262,0.000491514,0.000491514,0.000491514
14,87.2625,0.9255,1.0719,1.1424,0.81329,0.89434,0.93165,0.73548,0.85813,0.83683,1.09801,0.000490807,0.000490807,0.000490807
15,93.3413,0.9147,1.07358,1.13679,0.87628,0.88591,0.93534,0.69252,1.01796,0.71139,1.18425,0.0004901,0.0004901,0.0004901
16,99.2021,0.94105,1.02236,1.1398,0.85034,0.89461,0.92776,0.69755,0.99448,0.7872,1.16456,0.000489393,0.000489393,0.000489393
17,105.049,0.91898,0.97811,1.12774,0.90108,0.85012,0.93511,0.70757,0.96159,0.71829,1.17231,0.000488686,0.000488686,0.000488686
18,110.887,0.93403,0.97532,1.1455,0.90867,0.92815,0.96459,0.71132,1.03455,0.64855,1.18383,0.000487979,0.000487979,0.000487979
19,116.72,0.90805,0.9949,1.13279,0.91796,0.89177,0.94238,0.72094,0.93302,0.62187,1.13149,0.000487271,0.000487271,0.000487271
20,122.554,0.91209,0.95701,1.12146,0.91976,0.91961,0.96841,0.72131,0.97483,0.5943,1.14112,0.000486564,0.000486564,0.000486564
21,128.38,0.91373,0.94963,1.13751,0.90676,0.91562,0.95642,0.76553,0.82198,0.61274,1.05385,0.000485857,0.000485857,0.000485857
22,134.454,0.90143,0.93207,1.12776,0.92528,0.90117,0.94661,0.68419,1.06365,0.62957,1.19554,0.00048515,0.00048515,0.00048515
23,140.318,0.91157,0.94071,1.13356,0.91008,0.91842,0.94821,0.72155,0.97974,0.58727,1.15608,0.000484443,0.000484443,0.000484443
24,146.152,0.88137,0.90397,1.11373,0.8821,0.94539,0.95316,0.7467,0.89433,0.56836,1.09814,0.000483736,0.000483736,0.000483736
25,151.968,0.8808,0.87961,1.1101,0.89416,0.90566,0.94314,0.69882,1.02459,0.64124,1.15151,0.000483029,0.000483029,0.000483029
26,157.841,0.87353,0.85974,1.09675,0.89958,0.91629,0.95946,0.71565,0.99295,0.61115,1.16725,0.000482321,0.000482321,0.000482321
27,163.673,0.86109,0.86726,1.09518,0.8979,0.93097,0.95684,0.69735,1.06895,0.59384,1.21933,0.000481614,0.000481614,0.000481614
28,169.509,0.86698,0.82628,1.09371,0.90774,0.91708,0.95471,0.73519,0.92981,0.5469,1.12079,0.000480907,0.000480907,0.000480907
29,175.474,0.88573,0.8683,1.11166,0.89281,0.91938,0.95037,0.73686,0.89114,0.60545,1.09733,0.0004802,0.0004802,0.0004802
30,181.322,0.85755,0.82873,1.09101,0.91938,0.92919,0.96757,0.73774,0.96027,0.53031,1.12682,0.000479493,0.000479493,0.000479493
31,187.129,0.84839,0.80635,1.07445,0.92885,0.92397,0.95938,0.74719,0.90929,0.53567,1.09916,0.000478786,0.000478786,0.000478786
32,192.985,0.85046,0.81068,1.0801,0.91914,0.92563,0.95701,0.7242,0.97623,0.54429,1.12798,0.000478079,0.000478079,0.000478079
33,198.798,0.86349,0.8136,1.08855,0.9056,0.93871,0.96094,0.75579,0.86485,0.54203,1.08847,0.000477371,0.000477371,0.000477371
34,204.641,0.84545,0.82398,1.08172,0.92993,0.93535,0.97095,0.75991,0.86717,0.51395,1.07139,0.000476664,0.000476664,0.000476664
35,210.478,0.84624,0.82059,1.09638,0.94963,0.92913,0.96756,0.75142,0.88025,0.53503,1.08245,0.000475957,0.000475957,0.000475957
36,216.343,0.84116,0.79455,1.09242,0.90878,0.94134,0.96949,0.74358,0.94796,0.53304,1.11977,0.00047525,0.00047525,0.00047525
37,222.279,0.84335,0.78495,1.08691,0.90805,0.92151,0.95943,0.75421,0.86105,0.54139,1.07649,0.000474543,0.000474543,0.000474543
38,228.118,0.85069,0.79831,1.09431,0.92518,0.94596,0.96966,0.73538,0.95596,0.51902,1.13378,0.000473836,0.000473836,0.000473836
39,233.95,0.84281,0.79926,1.08931,0.95336,0.93665,0.97642,0.75655,0.92622,0.52926,1.10769,0.000473129,0.000473129,0.000473129
40,239.802,0.83189,0.78605,1.08029,0.91605,0.9335,0.96099,0.6983,1.04674,0.60435,1.19612,0.000472421,0.000472421,0.000472421
